,tot_sums,row_sums,col_sums,tot_freq,row_freq,col_freq,distribution,category
quasiswap_count,1,1,1,1,0,0,0,QMCFXS
r2dtable,1,1,1,0,0,0,0.5,QMCFXS
swap_count,1,1,1,1,0,0,0,QSw
abuswap_r,1,1,0,1,1,1,0,QSw
abuswap_c,1,0,1,1,1,1,0,QSw
swsh_samp,1,0,0,1,1,1,1,QSwSh
swsh_samp_r,1,1,0,1,1,1,1,QSwSh
swsh_samp_c,1,0,1,1,1,1,1,QSwSh
swsh_both,1,0,0,1,1,1,0,QSwSh
swsh_both_r,1,1,0,1,1,1,0,QSwSh
swsh_both_c,1,0,1,1,1,1,0,QSwSh
r00_ind,1,0,0,0,0,0,0.5,QSh
r0_ind,1,1,0,0,0,0,0.5,QSh
c0_ind,1,0,1,0,0,0,0.5,QSh
r00_samp,1,0,0,1,0,0,1,QSh
r0_samp,1,1,0,1,1,0,1,QSh
c0_samp,1,0,1,1,0,1,1,QSh
r00_both,1,0,0,1,0,0,0,QSh
r0_both,1,1,0,1,1,0,0,QSh
c0_both,1,0,1,1,0,1,0,QSh